RowNames;Title;URL
200;Saúde instala centro de emergência contra dengue no país;/republica/saude-instala-centro-de-emergencia-contra-dengue-no-pais/
201;Ministério das Comunicações barra pedido de concessão do PT para rádio e TV, diz jornal;/republica/ministerio-das-comunicacoes-barra-pedido-de-concessao-do-pt-para-radio-e-tv-diz-jornal/
202;Lula arrisca sofrer sanção histórica do Congresso caso busque no STF a “palavra final” para impasses;/republica/lula-arrisca-sofrer-sancao-historica-do-congresso-caso-busque-no-stf-a-palavra-final-para-impasses/
203;IBGE quer mudar comunicação e centralizar análise de dados do governo;/republica/programa-na-tv-brasil-e-lives-ibge-quer-mudar-comunicacao-e-centralizar-analise-de-dados-do-governo/
204;Atacado pela esquerda, índice de corrupção já foi elogiado pelo PT em governos de opositores;/republica/atacado-pela-esquerda-indice-de-corrupcao-ja-foi-elogiado-pelo-pt-em-governos-de-opositores/
205;Três alvos da Lava Jato também pedem a Toffoli suspensão de multa;/republica/leo-pinheiro-ex-presidente-oas-lava-jato-pede-toffoli-suspensao-multa/
206;PF adia depoimento de Bolsonaro após convocação para ato de apoio ao ex-presidente;/republica/pf-adia-depoimento-de-bolsonaro-apos-convocacao-para-ato-de-apoio-ao-ex-presidente/
207;A regulação das redes sociais ou como mascarar o retorno da censura;/republica/a-regulacao-das-redes-sociais-ou-como-mascarar-o-retorno-da-censura/
208;Lula e Tarcísio selam paz e anunciam túnel Santos-Guarujá com convite inusitado de “volta ao PT”;/sao-paulo/lula-e-tarcisio-selam-paz-e-anunciam-tunel-santos-guaruja-com-convite-inusitado-de-volta-ao-pt/
209;Inquéritos conduzidos por Moraes que miram Bolsonaro serão compartilhados com a CGU;/republica/inqueritos-conduzidos-por-moraes-que-miram-bolsonaro-serao-compartilhados-com-a-cgu/
210;Ministro de Lula e esposa são suspeitos de corrupção no transporte escolar no Piauí;/republica/ministro-lula-esposa-suspeitos-corrupcao-transporte-escolar-piaui/
211;Moraes ordena que preso do 8/1 com tornozeleira volte à prisão;/vida-e-cidadania/moraes-ordena-que-preso-do-8-1-com-tornozeleira-volte-a-prisao/
212;Oposição considera inconstitucional projeto de Dino para proibir acampamentos próximos a quarteis;/republica/oposicao-inconstitucioal-projeto-dino-proibir-acampamentos/
213;Investigação do STF na Abin abre caminho para controle judicial sobre ações de inteligência;/republica/investigacao-do-stf-na-abin-abre-caminho-para-controle-judicial-sobre-acoes-de-inteligencia/
214;De volta ao PT de São Paulo, Marta Suplicy vai iniciar pré-campanha com foco na periferia;/sao-paulo/marta-suplicy-retorno-pt-sao-paulo-pre-campanha-foco-periferia/
215;Dino quer proibir acampamentos próximos a quartéis de “vivandeiras” que “provocam militares”;/republica/dino-proibir-acampamentos-vivandeiras-proximos-quarteis/
216;Transparência Internacional rebate governo e mantém posição sobre corrupção no Brasil;/republica/transparencia-internacional-rebate-governo-corrupcao-brasil/
